time_talon,time_logger,temp1,temp2,temp3,force,voltage,current,RPM,bus_voltage
0.0,0.0,296.5585620476,296.22715008719996,296.9870046973,-0.072395037683335,8.995,12.125,0.0,11.950
0.01599999999962165,0.0,296.5585620476,296.22715008719996,296.9870046973,-0.072395037683335,8.147,12.125,0.0,9.000
0.032000000000152795,0.0,296.5585620476,296.22715008719996,296.9870046973,-0.072395037683335,9.000,35.250,-1.025,9.000
0.047999999999774445,0.0,296.5585620476,296.22715008719996,296.9870046973,-0.072395037683335,9.000,61.500,-37.645,9.000
0.06300000000010186,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,9.000,77.750,-187.793,9.000
0.07899999999972351,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,9.000,77.750,-187.793,9.000
0.09499999999934516,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,9.000,76.875,-532.617,9.000
0.10999999999967258,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,9.000,71.000,-1111.67,9.000
0.12600000000020373,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,9.000,65.875,-1914.111,9.000
0.14199999999982538,0.10000000000000142,296.5585620476,296.22715008719996,296.9870046973,-0.103288140242025,8.500,65.875,-1914.111,8.500
0.15799999999944703,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.500,60.375,-2861.719,8.500
0.17299999999977445,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.500,56.500,-3838.477,8.500
0.1889999999993961,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.500,52.250,-4428.662,8.500
0.20499999999992724,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.467,52.250,-4428.662,8.500
0.2209999999995489,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.251,48.625,-4008.985,8.500
0.23499999999967258,0.20000000000000284,296.5353134491,296.22715008719996,296.9870046973,-0.03813260632708,8.143,44.250,-2513.233,8.500
0.25199999999949796,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.043,39.750,-246.533,8.500
0.2680000000000291,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.971,39.750,-246.533,9.650
0.28399999999965075,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.895,35.625,2183.496,9.650
0.29799999999977445,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.678,32.250,4150.928,9.650
0.3149999999995998,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.527,29.250,5218.946,9.650
0.33100000000013097,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.377,29.250,5218.946,9.650
0.3469999999997526,0.30000000000000426,296.6065084919,296.2024287895,296.9637763889,-0.12712386491387,8.424,26.500,5361.328,9.650
0.36200000000008004,0.4000000000000057,296.5353134491,296.2504157725,296.9390952185,-0.012430091375867999,8.395,24.625,5070.703,9.650
0.3779999999997017,0.4000000000000057,296.5353134491,296.2504157725,296.9390952185,-0.012430091375867999,8.994,23.250,5070.703,10.350
0.39399999999932334,0.4000000000000057,296.5353134491,296.2504157725,296.9390952185,-0.012430091375867999,8.994,23.250,4811.133,10.350
