time_talon,time_logger,temp1,temp2,temp3,force,voltage,current,RPM,bus_voltage
130.46900000000005,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,5.034,5.875,-5908.008,12.500
130.48500000000013,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,5.022,5.875,-5909.18,12.500
130.5,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,4.998,5.875,-5909.18,12.500
130.51600000000008,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,4.985,5.875,-5909.18,12.500
130.53099999999995,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,4.998,5.875,-5909.766,12.500
130.54600000000028,130.50000000000003,295.28651658959996,295.3404663889,296.67623984479997,-0.010836489917406001,4.998,5.875,-5909.766,12.500
130.5619999999999,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,4.998,5.875,-5909.766,12.500
130.57799999999997,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,5.022,5.875,-5910.938,12.500
130.59400000000005,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,5.022,5.875,-5910.938,12.500
130.61000000000013,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,5.022,5.875,-5910.938,12.500
130.6260000000002,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,4.990,5.875,-5910.938,12.450
130.64199999999983,130.6,295.3594193811,295.2938076833,296.6050556436,-0.07116568798728501,4.990,5.875,-5910.352,12.450
130.6579999999999,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,5.014,6.000,-5909.766,12.450
130.67399999999998,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,5.014,5.875,-5910.352,12.450
130.69000000000005,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,5.014,5.875,-5910.352,12.450
130.70600000000013,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,4.990,6.000,-5910.938,12.450
130.7220000000002,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,4.978,6.000,-5912.696,12.450
130.73700000000008,130.70000000000002,295.3594193811,295.3404663889,296.5571090456,-0.086054478755705,4.978,5.875,-5915.625,12.450
130.75300000000016,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,5.002,5.875,-5915.625,12.450
130.76900000000023,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,4.990,5.875,-5918.555,12.450
130.78499999999985,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,4.990,5.875,-5920.313,12.450
130.80000000000018,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,4.978,5.875,-5922.656,12.450
130.81600000000026,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,4.978,5.875,-5922.656,12.450
130.83199999999988,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,5.002,5.875,-5923.828,12.450
130.84799999999996,130.79999999999998,295.3594193811,295.3404663889,296.628300665,0.008514384935136999,5.002,5.875,-5923.828,12.450
130.86400000000003,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.982,5.875,-5923.828,12.400
130.8800000000001,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.970,5.875,-5923.828,12.400
130.89600000000019,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.970,5.875,-5923.828,12.400
130.91200000000026,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.958,5.875,-5924.414,12.400
130.92799999999988,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.970,5.875,-5924.414,12.400
130.94399999999996,130.9,295.28651658959996,295.3171379618,296.69948132549996,-0.048081232574765,4.982,5.875,-5925.0,12.400
130.96000000000004,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,4.982,5.875,-5925.0,12.400
130.9760000000001,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,4.990,5.875,-5925.0,12.450
130.99099999999999,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,5.002,5.875,-5924.414,12.450
131.00700000000006,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,5.002,5.875,-5923.828,12.450
131.02199999999993,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,5.014,5.875,-5923.828,12.450
131.038,131.00000000000003,295.3594193811,295.2690172199,296.6050556436,-0.07228120900800501,5.026,5.875,-5922.656,12.450
131.0540000000001,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,5.026,5.875,-5921.485,12.450
131.07000000000016,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,5.026,5.875,-5920.899,12.450
131.08600000000024,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,4.978,5.875,-5920.899,12.450
131.1010000000001,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,5.014,5.875,-5920.899,12.450
131.1170000000002,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,4.978,5.875,-5920.899,12.450
131.13300000000027,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,4.978,5.750,-5920.899,12.450
131.1489999999999,131.1,295.38274448389996,295.3404663889,296.6050556436,-0.07228120900800501,5.002,5.750,-5920.899,12.450
131.16499999999996,131.20000000000002,295.3594193811,295.36525082779997,296.628300665,-0.007854178616641,5.014,5.750,-5921.485,12.450
131.18100000000004,131.20000000000002,295.3594193811,295.36525082779997,296.628300665,-0.007854178616641,4.965,5.750,-5921.485,12.450
131.19700000000012,131.20000000000002,295.3594193811,295.36525082779997,296.628300665,-0.007854178616641,4.953,5.750,-5920.899,12.450
131.2130000000002,131.20000000000002,295.3594193811,295.36525082779997,296.628300665,-0.007854178616641,4.965,5.750,-5920.899,12.450
131.22900000000027,131.20000000000002,295.3594193811,295.36525082779997,296.628300665,-0.007854178616641,4.985,5.750,-5918.555,12.500
