time_talon,time_logger,temp1,temp2,temp3,force,voltage,current,RPM,bus_voltage
0.0,0.0,301.60943454309995,301.68358486619996,301.8421089958,-0.02044363013831,7.972,1.250,0.0,11.650
0.013999999999896318,0.0,301.60943454309995,301.68358486619996,301.8421089958,-0.02044363013831,9.190,14.875,0.0,11.650
0.028999999999996362,0.0,301.60943454309995,301.68358486619996,301.8421089958,-0.02044363013831,10.022,14.875,0.0,11.650
0.04399999999986903,0.0,301.60943454309995,301.68358486619996,301.8421089958,-0.02044363013831,10.340,26.250,-0.7294921875000001,11.650
0.057999999999992724,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,10.431,37.625,-5.514404296875001,11.650
0.0729999999998654,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,10.534,37.625,-5.514404296875001,11.650
0.08799999999996544,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,10.602,37.625,-18.0673828125,8.700
0.10299999999983811,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,8.054,38.625,-41.692236328125006,8.700
0.1169999999999618,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,8.147,40.750,-77.46225585937499,8.700
0.13199999999983447,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,8.309,40.750,-77.46225585937499,8.700
0.14699999999993452,0.10000000000000142,301.5614619847,301.7083046397,301.8668387662,-0.198699336132795,8.546,44.750,-124.71196289062499,8.700
0.1619999999998072,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,8.700,48.625,-180.39462890624998,8.700
0.17599999999993088,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,8.700,48.625,-180.39462890624998,8.700
0.19099999999980355,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,8.700,52.000,-240.304541015625,8.700
0.2059999999999036,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,8.700,52.875,-300.085400390625,8.700
0.2199999999997999,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,7.700,53.125,-300.085400390625,7.700
0.23499999999989996,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,7.700,53.125,-357.29165039062497,7.700
0.25,0.20000000000000284,301.5614619847,301.7083046397,301.8901153143,-0.35168507614356503,7.700,52.125,-409.369482421875,7.700
0.26499999999987267,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.700,51.750,-454.85976562499997,7.700
0.27899999999999636,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.700,51.750,-454.85976562499997,7.700
0.29399999999986903,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.700,51.000,-492.66811523437497,7.700
0.3089999999999691,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.700,50.625,-523.545703125,7.700
0.32399999999984175,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.700,50.625,-523.545703125,7.700
0.33799999999996544,0.30000000000000426,301.5847207225,301.7083046397,301.8901153143,-0.181989286554575,7.850,50.000,-548.8658203125,7.850
0.3529999999998381,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,49.625,-569.50810546875,7.850
0.36799999999993815,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,49.000,-587.5754882812499,7.850
0.3829999999998108,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,49.000,-587.5754882812499,7.850
0.3969999999999345,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,48.875,-603.239501953125,7.850
0.4119999999998072,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,48.750,-616.822265625,7.850
0.42699999999990723,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,48.750,-616.822265625,7.850
0.4420000000000073,0.4000000000000057,301.5847207225,301.7315716993,301.8668387662,-0.257730887300635,7.850,49.000,-627.6153808593749,7.850
0.4559999999999036,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.750,-636.305859375,7.850
0.47100000000000364,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.750,-636.305859375,7.850
0.4859999999998763,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.750,-643.64443359375,7.850
0.5009999999999764,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.375,-649.5880371093749,7.850
0.5149999999998727,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.375,-654.437548828125,7.850
0.5299999999999727,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.375,-654.437548828125,7.850
0.5449999999998454,0.5,301.5614619847,301.7315716993,301.8901153143,-0.24363889726121998,7.850,48.250,-658.3214355468749,7.850
0.5599999999999454,0.6000000000000014,301.5847207225,301.7083046397,301.8901153143,-0.24177210698117502,7.850,48.000,-661.432763671875,7.850
0.5739999999998417,0.6000000000000014,301.5847207225,301.7083046397,301.8901153143,-0.24177210698117502,7.900,48.000,-661.432763671875,7.900
0.5889999999999418,0.6000000000000014,301.5847207225,301.7083046397,301.8901153143,-0.24177210698117502,7.900,48.250,-663.9433593750001,7.900
